heroId,hero,rarity,class,attack,armor,speed,enemy,winProbability,rewardOnWinBNB,expectedBNBPerFight,expectedHpLoss,hpLimitedFightsPerDay,expectedBNBPerDay
1,"Dayne of Gerston",Common,Knight,500,500,500,1,0.749,0.0045000000000000005,0.0033705000000000002,162.55,6.1805669811793145,0.02083160101006488
1,"Dayne of Gerston",Common,Knight,500,500,500,2,0.719,0.0054,0.0038826,164.05,6.124054634505929,0.023777254523932718
1,"Dayne of Gerston",Common,Knight,500,500,500,3,0.679,0.0063,0.004277700000000001,166.05,6.050293061070145,0.025881338627339764
1,"Dayne of Gerston",Common,Knight,500,500,500,4,0.639,0.0072,0.0046008,168.05,5.978287193041937,0.027504903717747345
1,"Dayne of Gerston",Common,Knight,500,500,500,5,0.599,0.0081,0.004851899999999999,170.05,5.907975082568054,0.028664904303111936
1,"Dayne of Gerston",Common,Knight,500,500,500,6,0.559,0.009000000000000001,0.005031000000000001,172.05,5.839297662253401,0.029377506538796862
1,"Dayne of Gerston",Common,Knight,500,500,500,7,0.449,0.036000000000000004,0.016164,377.54999999999995,2.6609751365135685,0.04301200210660532
2,"Andin Olis",Uncommon,Knight,500,500,600,1,0.749,0.0048000000000000004,0.0035952000000000002,162.55,6.1805669811793145,0.022220374410735873
2,"Andin Olis",Uncommon,Knight,500,500,600,2,0.719,0.00576,0.00414144,164.05,6.124054634505929,0.02536240482552823
2,"Andin Olis",Uncommon,Knight,500,500,600,3,0.679,0.00672,0.004562880000000001,166.05,6.050293061070145,0.02760676120249575
2,"Andin Olis",Uncommon,Knight,500,500,600,4,0.639,0.007679999999999999,0.004907519999999999,168.05,5.978287193041937,0.029338563965597163
2,"Andin Olis",Uncommon,Knight,500,500,600,5,0.599,0.00864,0.0051753599999999995,170.05,5.907975082568054,0.0305758979233194
2,"Andin Olis",Uncommon,Knight,500,500,600,6,0.559,0.009600000000000001,0.005366400000000001,172.05,5.839297662253401,0.031336006974716654
2,"Andin Olis",Uncommon,Knight,500,500,600,7,0.449,0.038400000000000004,0.017241600000000003,377.54999999999995,2.6609751365135685,0.04587946891371235
3,"Torlov Branhart",Common,Knight,500,600,400,1,0.749,0.0042,0.0031458,155.06,6.479112361606459,0.020381991667141598
3,"Torlov Branhart",Common,Knight,500,600,400,2,0.719,0.005039999999999999,0.0036237599999999993,156.86,6.404763246147504,0.023209324860859474
3,"Torlov Branhart",Common,Knight,500,600,400,3,0.679,0.005879999999999999,0.003992519999999999,159.26,6.30824540242809,0.025185795934102195
3,"Torlov Branhart",Common,Knight,500,600,400,4,0.639,0.006719999999999999,0.00429408,161.66000000000003,6.214593361318183,0.026685961060969182
3,"Torlov Branhart",Common,Knight,500,600,400,5,0.599,0.00756,0.00452844,164.06,6.123681353106775,0.027730723586662846
3,"Torlov Branhart",Common,Knight,500,600,400,6,0.559,0.0084,0.0046956,166.45999999999998,6.0353908614123375,0.028339781328847773
3,"Torlov Branhart",Common,Knight,500,600,400,7,0.449,0.0336,0.0150864,373.05999999999995,2.6930015621902585,0.04062769876782712
4,"Aelof Orstone",Uncommon,Knight,500,600,500,1,0.749,0.0045000000000000005,0.0033705000000000002,155.06,6.479112361606459,0.02183784821479457
4,"Aelof Orstone",Uncommon,Knight,500,600,500,2,0.719,0.0054,0.0038826,156.86,6.404763246147504,0.0248671337794923
4,"Aelof Orstone",Uncommon,Knight,500,600,500,3,0.679,0.0063,0.004277700000000001,159.26,6.30824540242809,0.026984781357966645
4,"Aelof Orstone",Uncommon,Knight,500,600,500,4,0.639,0.0072,0.0046008,161.66000000000003,6.214593361318183,0.0285921011367527
4,"Aelof Orstone",Uncommon,Knight,500,600,500,5,0.599,0.0081,0.004851899999999999,164.06,6.123681353106775,0.02971148955713876
4,"Aelof Orstone",Uncommon,Knight,500,600,500,6,0.559,0.009000000000000001,0.005031000000000001,166.45999999999998,6.0353908614123375,0.030364051423765474
4,"Aelof Orstone",Uncommon,Knight,500,600,500,7,0.449,0.036000000000000004,0.016164,373.05999999999995,2.6930015621902585,0.04352967725124334
5,"Jan Rhylen",Common,Knight,500,700,300,1,0.749,0.0039000000000000003,0.0029211000000000003,147.57,6.8079634261075945,0.019886741964002898
5,"Jan Rhylen",Common,Knight,500,700,300,2,0.719,0.00468,0.00336492,149.67000000000002,6.7124417905438465,0.0225868296298368
5,"Jan Rhylen",Common,Knight,500,700,300,3,0.679,0.00546,0.00370734,152.47,6.5891727080127085,0.024428303547323834
5,"Jan Rhylen",Common,Knight,500,700,300,4,0.639,0.00624,0.00398736,155.27,6.470349473759886,0.02579961267769122
5,"Jan Rhylen",Common,Knight,500,700,300,5,0.599,0.00702,0.00420498,158.07,6.355735830902117,0.026725742054226783
5,"Jan Rhylen",Common,Knight,500,700,300,6,0.559,0.0078000000000000005,0.004360200000000001,160.87,6.245111971099009,0.0272299372163859
5,"Jan Rhylen",Common,Knight,500,700,300,7,0.449,0.031200000000000002,0.014008800000000002,368.57,2.725808293650318,0.03818530322408858
6,"Demisov the Bold",Uncommon,Rogue,500,800,300,1,0.749,0.0039000000000000003,0.0029211000000000003,140.07999999999998,7.171981459099784,0.02095007504017638
6,"Demisov the Bold",Uncommon,Rogue,500,800,300,2,0.719,0.00468,0.00336492,142.48000000000002,7.051173236880246,0.02372663384824308
6,"Demisov the Bold",Uncommon,Rogue,500,800,300,3,0.679,0.00546,0.00370734,145.68,6.8962874985632725,0.025566882494923563
6,"Demisov the Bold",Uncommon,Rogue,500,800,300,4,0.639,0.00624,0.00398736,148.88,6.748059932769329,0.026906944253527108
6,"Demisov the Bold",Uncommon,Rogue,500,800,300,5,0.599,0.00702,0.00420498,152.07999999999998,6.606070244546935,0.027778393256914967
6,"Demisov the Bold",Uncommon,Rogue,500,800,300,6,0.559,0.0078000000000000005,0.004360200000000001,155.28,6.469932784587182,0.028210200927357036
6,"Demisov the Bold",Uncommon,Rogue,500,800,300,7,0.449,0.031200000000000002,0.014008800000000002,364.08,2.759424200150235,0.03865622173506462
7,"Esfel of Lordan",Common,Ranger,400,300,800,1,0.739,0.0054,0.0039906,177.82999999999998,5.649503249118246,0.022544907665931275
7,"Esfel of Lordan",Common,Ranger,400,300,800,2,0.709,0.00648,0.00459432,178.73,5.621055014774787,0.0258249254754801
7,"Esfel of Lordan",Common,Ranger,400,300,800,3,0.669,0.00756,0.00505764,179.93,5.5835667359011705,0.0282396704661632
7,"Esfel of Lordan",Common,Ranger,400,300,800,4,0.629,0.00864,0.00543456,181.13,5.5465751824142755,0.030143195623341324
7,"Esfel of Lordan",Common,Ranger,400,300,800,5,0.589,0.009720000000000001,0.0057250800000000004,182.32999999999998,5.510070546759709,0.03154559468584308
7,"Esfel of Lordan",Common,Ranger,400,300,800,6,0.549,0.0108,0.005929200000000001,183.53,5.474043277887526,0.032456697403250724
7,"Esfel of Lordan",Common,Ranger,400,300,800,7,0.439,0.0432,0.0189648,386.83,2.5971386986291076,0.0492542159917613
8,"Reis of the Knife",Uncommon,Ranger,500,300,800,1,0.749,0.0054,0.004044600000000001,177.53,5.659050091763069,0.022888594001144912
8,"Reis of the Knife",Uncommon,Ranger,500,300,800,2,0.719,0.00648,0.004659119999999999,178.43,5.630505872278752,0.026233202519651375
8,"Reis of the Knife",Uncommon,Ranger,500,300,800,3,0.679,0.00756,0.00513324,179.63,5.5928918487485255,0.02870965615366988
8,"Reis of the Knife",Uncommon,Ranger,500,300,800,4,0.639,0.00864,0.00552096,180.82999999999998,5.555777043580699,0.030673222826527298
8,"Reis of the Knife",Uncommon,Ranger,500,300,800,5,0.599,0.009720000000000001,0.005822280000000001,182.03,5.5191515837537635,0.03213404588305787
8,"Reis of the Knife",Uncommon,Ranger,500,300,800,6,0.559,0.0108,0.006037200000000001,183.23000000000002,5.48300585488565,0.03310200294711565
8,"Reis of the Knife",Uncommon,Ranger,500,300,800,7,0.449,0.0432,0.019396800000000002,386.53,2.5991544324908746,0.050415278696139
9,"Lena",Common,Rogue,500,400,600,1,0.749,0.0048000000000000004,0.0035952000000000002,170.04000000000002,5.908322528762041,0.02124160115540529
9,"Lena",Common,Rogue,500,400,600,2,0.719,0.00576,0.00414144,171.24,5.866918726878636,0.024297491892244255
9,"Lena",Common,Rogue,500,400,600,3,0.679,0.00672,0.004562880000000001,172.84,5.812607977266244,0.026522232687308602
9,"Lena",Common,Rogue,500,400,600,4,0.639,0.007679999999999999,0.004907519999999999,174.44,5.75929352666073,0.028263848167958062
9,"Lena",Common,Rogue,500,400,600,5,0.599,0.00864,0.0051753599999999995,176.04000000000002,5.706948209444999,0.029535511485233267
9,"Lena",Common,Rogue,500,400,600,6,0.559,0.009600000000000001,0.005366400000000001,177.64,5.655545838722685,0.030349921188921426
9,"Lena",Common,Rogue,500,400,600,7,0.449,0.038400000000000004,0.017241600000000003,382.03999999999996,2.629701504530148,0.04534026146050701
10,"Sivalas Zefen",Common,Rogue,600,300,600,1,0.759,0.0048000000000000004,0.0036432000000000005,177.23,5.668629254588375,0.020651950100316372
10,"Sivalas Zefen",Common,Rogue,600,300,600,2,0.729,0.00576,0.00419904,178.13,5.639988563356524,0.02368253757707658
10,"Sivalas Zefen",Common,Rogue,600,300,600,3,0.689,0.00672,0.00463008,179.33,5.602248161438117,0.0259388571673114
10,"Sivalas Zefen",Common,Rogue,600,300,600,4,0.649,0.007679999999999999,0.0049843199999999995,180.52999999999997,5.5650094875682585,0.02773778808907622
